algorithm_id,algorithm,family,tiers,transmitted_chain_bytes,total_hierarchy_bytes,leaf_total_bytes,leaf_public_key_bytes,leaf_signature_bytes,leaf_overhead_bytes,validation_median_us,validation_p25_us,validation_p75_us,validation_min_us,validation_max_us,validation_samples
ecdsa-p256,ECDSA P-256,Classical,2,320,633,320,91,71,158,302.355,291.583,336.125,267.958,3763.208,2000
ecdsa-p256,ECDSA P-256,Classical,3,653,966,330,91,71,168,541.604,533.333,553.583,482.625,3158.916,2000
ecdsa-p256,ECDSA P-256,Classical,4,986,1299,329,91,70,168,795.458,788.573,804.437,718.750,2338.375,2000
rsa-3072,RSA-3072,Classical,2,973,1939,973,422,384,167,52.917,51.917,53.916,46.584,115.292,2000
rsa-3072,RSA-3072,Classical,3,1959,2925,983,422,384,177,94.500,93.875,94.875,84.791,1561.958,2000
rsa-3072,RSA-3072,Classical,4,2945,3911,983,422,384,177,137.292,135.042,138.500,122.250,1759.375,2000
ml-dsa-44,ML-DSA-44,ML-DSA,2,3917,7827,3917,1334,2420,163,57.271,55.000,59.177,49.417,1568.333,2000
ml-dsa-44,ML-DSA-44,ML-DSA,3,7847,11757,3927,1334,2420,173,104.917,103.666,106.625,92.875,1933.041,2000
ml-dsa-44,ML-DSA-44,ML-DSA,4,11777,15687,3927,1334,2420,173,154.416,152.083,156.469,135.667,1577.833,2000
ml-dsa-65,ML-DSA-65,ML-DSA,2,5446,10885,5446,1974,3309,163,87.291,84.032,88.583,77.709,619.666,2000
ml-dsa-65,ML-DSA-65,ML-DSA,3,10905,16344,5456,1974,3309,173,159.000,157.750,160.667,141.541,695.542,2000
ml-dsa-65,ML-DSA-65,ML-DSA,4,16364,21803,5456,1974,3309,173,235.042,233.656,236.583,211.250,715.500,2000
ml-dsa-87,ML-DSA-87,ML-DSA,2,7404,14801,7404,2614,4627,163,127.396,126.333,128.677,112.834,564.917,2000
ml-dsa-87,ML-DSA-87,ML-DSA,3,14821,22218,7414,2614,4627,173,250.375,248.208,252.250,223.208,715.458,2000
ml-dsa-87,ML-DSA-87,ML-DSA,4,22238,29635,7414,2614,4627,173,372.500,369.917,375.083,333.291,770.542,2000
slh-dsa-sha2-128f,SLH-DSA-SHA2-128F,SLH-DSA,2,17300,34593,17300,50,17088,162,1585.708,1571.167,1601.313,1455.417,4369.250,2000
slh-dsa-sha2-128f,SLH-DSA-SHA2-128F,SLH-DSA,3,34613,51906,17310,50,17088,172,3144.292,3114.584,3169.646,2918.250,3632.458,2000
slh-dsa-sha2-128f,SLH-DSA-SHA2-128F,SLH-DSA,4,51926,69219,17310,50,17088,172,4734.230,4679.959,4801.322,4463.875,29689.583,2000
slh-dsa-sha2-128s,SLH-DSA-SHA2-128S,SLH-DSA,2,8068,16129,8068,50,7856,162,535.708,523.208,543.354,489.834,959.708,2000
slh-dsa-sha2-128s,SLH-DSA-SHA2-128S,SLH-DSA,3,16149,24210,8078,50,7856,172,1078.375,1055.698,1091.885,992.542,1447.625,2000
slh-dsa-sha2-128s,SLH-DSA-SHA2-128S,SLH-DSA,4,24230,32291,8078,50,7856,172,1634.791,1604.073,1654.730,1506.916,4927.042,2000
slh-dsa-sha2-192f,SLH-DSA-SHA2-192F,SLH-DSA,2,35892,71777,35892,66,35664,162,2446.666,2400.510,2480.355,2276.125,3011.083,2000
slh-dsa-sha2-192f,SLH-DSA-SHA2-192F,SLH-DSA,3,71797,107682,35902,66,35664,172,4722.250,4635.406,4768.302,4446.333,5248.125,2000
slh-dsa-sha2-192f,SLH-DSA-SHA2-192F,SLH-DSA,4,107702,143587,35902,66,35664,172,7232.584,7111.678,7449.198,6838.791,40419.667,2000
slh-dsa-sha2-256f,SLH-DSA-SHA2-256F,SLH-DSA,2,50100,100193,50100,82,49856,162,2559.313,2511.427,2613.698,2363.500,5473.750,2000
slh-dsa-sha2-256f,SLH-DSA-SHA2-256F,SLH-DSA,3,100213,150306,50110,82,49856,172,4922.146,4852.270,4995.511,4667.625,11553.458,2000
